Year,Month,Day,Date,Temp,Dew Point ,Humidity,Sea Level Pressure,Visibility,Wind,Precip,Events
2013,10,5,10/5/13,69,36,36,30.14,10,5,0,
2013,10,6,10/6/13,70,44,40,30.07,10,5,0.01,
2013,10,7,10/7/13,68,41,46,29.95,10,9,0,
2013,10,8,10/8/13,62,47,59,29.84,10,10,0,
2013,10,9,10/9/13,60,45,60,29.69,10,8,0,
2013,10,10,10/10/13,62,47,61,29.91,10,5,0,
2013,10,11,10/11/13,57,47,70,30.04,10,9,0,
2013,10,12,10/12/13,56,46,71,29.98,8,13,0,Fog
2013,10,13,10/13/13,62,47,60,30.01,10,7,0,
2013,10,14,10/14/13,64,41,49,30.06,10,5,0,
2013,10,15,10/15/13,67,37,40,30.01,10,5,0,
2013,10,16,10/16/13,67,42,41,30.05,10,4,0,
2013,10,17,10/17/13,68,45,56,30.03,10,7,0,
2013,10,18,10/18/13,60,48,66,30.02,10,10,0,
2013,10,19,10/19/13,62,48,65,30.04,10,9,0,
2013,10,20,10/20/13,57,47,77,29.99,8,11,0,Fog
2013,10,21,10/21/13,55,47,80,29.98,10,9,0,
2013,10,22,10/22/13,56,48,82,29.99,5,10,0,Fog
2013,10,23,10/23/13,55,48,83,29.96,7,9,0,Fog
2013,10,24,10/24/13,57,47,73,30.05,10,9,0,
2013,10,25,10/25/13,59,47,69,30.13,10,9,0,
2013,10,26,10/26/13,60,48,67,30.09,10,9,0,Fog
2013,10,27,10/27/13,55,47,76,29.9,10,18,T,Rain
2013,10,28,10/28/13,57,46,69,29.75,10,15,0,
2013,10,29,10/29/13,58,45,66,29.97,10,7,0,
2013,10,30,10/30/13,57,45,66,30.11,10,7,0,
2013,10,31,10/31/13,59,43,54,30.13,10,4,0,
2013,11,1,11/1/13,63,45,57,30.08,10,4,0,
2013,11,2,11/2/13,57,47,73,29.99,9,13,0,
2013,11,3,11/3/13,55,41,56,29.99,10,9,0,
2013,11,4,11/4/13,56,39,56,30,10,9,0,
2013,11,5,11/5/13,61,38,44,30.16,10,4,0,
2013,11,6,11/6/13,61,42,52,30.21,10,0,0,
2013,11,7,11/7/13,64,46,61,30.13,10,8,0,
2013,11,8,11/8/13,60,48,72,30.05,7,8,0,Fog
2013,11,9,11/9/13,57,47,64,30.01,10,3,0,
2013,11,10,11/10/13,58,48,72,30.09,10,5,0,
2013,11,11,11/11/13,58,49,72,30.13,9,5,0,
2013,11,12,11/12/13,64,50,62,30.23,10,7,T,
2013,11,13,11/13/13,60,51,77,30.18,10,8,0,Fog
2013,11,14,11/14/13,56,49,84,30.03,10,13,0,
2013,11,15,11/15/13,58,44,66,29.82,10,12,0,
2013,11,16,11/16/13,56,46,67,29.86,10,14,0,
2013,11,17,11/17/13,56,45,69,30.03,10,6,0,
2013,11,18,11/18/13,53,44,69,30.12,10,5,0,
2013,11,19,11/19/13,58,50,80,30.03,9,7,0.28,Rain
2013,11,20,11/20/13,55,53,90,29.9,9,7,0.63,Rain
2013,11,21,11/21/13,56,42,64,29.94,10,11,T,Rain
2013,11,22,11/22/13,63,32,30,29.97,10,14,0,
2013,11,23,11/23/13,58,38,50,30.04,10,5,0,
2013,11,24,11/24/13,53,43,70,30.19,10,3,0,
2013,11,25,11/25/13,53,43,70,30.28,10,2,0,
2013,11,26,11/26/13,55,44,65,30.16,9,2,0,
2013,11,27,11/27/13,55,45,69,29.92,9,1,0,
2013,11,28,11/28/13,58,44,64,29.96,9,4,0,
2013,11,29,11/29/13,54,45,70,30.15,10,3,0,Fog
2013,11,30,11/30/13,54,47,79,30.25,6,4,0,Fog
2013,12,1,12/1/13,57,46,66,30.27,10,4,0,
2013,12,2,12/2/13,54,49,80,30.1,8,14,T,"Fog , Rain"
2013,12,3,12/3/13,51,38,69,29.92,10,14,0,
2013,12,4,12/4/13,46,26,46,30.04,10,5,0,
2013,12,5,12/5/13,43,24,45,30.14,10,4,0,
2013,12,6,12/6/13,45,37,65,30.1,10,9,0.29,Rain
2013,12,7,12/7/13,45,32,63,30.09,10,13,0.06,Rain
2013,12,8,12/8/13,42,24,53,30.28,10,10,0,
2013,12,9,12/9/13,44,23,49,30.37,10,8,0,
2013,12,10,12/10/13,43,30,56,30.3,10,3,0,
2013,12,11,12/11/13,48,32,60,30.21,10,3,0,
2013,12,12,12/12/13,46,35,67,30.23,10,4,0,
2013,12,13,12/13/13,47,41,76,30.28,9,4,0,
2013,12,14,12/14/13,50,37,61,30.35,10,2,0,
2013,12,15,12/15/13,50,38,60,30.3,9,2,0,
2013,12,16,12/16/13,54,37,54,30.18,10,2,0,
2013,12,17,12/17/13,53,41,60,30.11,6,3,0,
2013,12,18,12/18/13,51,43,72,29.91,9,12,0,
2013,12,19,12/19/13,53,36,52,29.83,10,12,0,
2013,12,20,12/20/13,50,32,50,29.98,10,5,0,
2013,12,21,12/21/13,54,45,74,30.03,10,7,0,
2013,12,22,12/22/13,54,42,64,30.21,10,1,0,
2013,12,23,12/23/13,52,40,64,30.35,9,1,0,
2013,12,24,12/24/13,52,41,64,30.27,9,2,0,
2013,12,25,12/25/13,53,40,60,30.25,10,1,0,
2013,12,26,12/26/13,53,41,63,30.22,9,1,0,
2013,12,27,12/27/13,50,41,64,30.19,10,2,0,
2013,12,28,12/28/13,52,38,59,30.1,10,2,0,
2013,12,29,12/29/13,55,29,43,30.13,10,3,0,
2013,12,30,12/30/13,51,40,65,30.22,10,3,0,
2013,12,31,12/31/13,50,40,73,30.22,7,3,0,Fog
2014,1,1,1/1/14,49,40,69,30.17,9,1,0,
2014,1,2,1/2/14,53,39,58,30.11,10,1,0,
2014,1,3,1/3/14,54,41,59,30.02,10,4,0,
2014,1,4,1/4/14,55,42,65,30.02,6,2,0,Fog
2014,1,5,1/5/14,55,32,45,30.16,10,5,0,
2014,1,6,1/6/14,52,40,61,30.21,10,2,0,
2014,1,7,1/7/14,54,45,70,30.18,9,4,T,Rain
2014,1,8,1/8/14,56,48,79,30.2,9,9,0.01,
2014,1,9,1/9/14,56,47,73,30.23,10,12,T,
2014,1,10,1/10/14,54,46,75,30.25,9,6,0,
2014,1,11,1/11/14,52,46,83,30.23,10,6,T,
2014,1,12,1/12/14,53,42,70,30.33,10,7,0,
2014,1,13,1/13/14,55,37,50,30.4,10,3,0,
2014,1,14,1/14/14,58,37,45,30.38,10,2,0,
2014,1,15,1/15/14,61,34,44,30.27,10,3,0,
2014,1,16,1/16/14,60,35,45,30.18,10,2,0,
2014,1,17,1/17/14,56,39,53,30.15,9,1,0,
2014,1,18,1/18/14,55,39,57,30.11,9,1,0,
2014,1,19,1/19/14,55,38,54,30.1,10,2,0,
2014,1,20,1/20/14,55,41,60,30.17,9,2,0,
2014,1,21,1/21/14,56,37,48,30.21,10,2,0,
2014,1,22,1/22/14,55,41,64,30.05,10,5,0,
2014,1,23,1/23/14,57,38,51,29.93,9,5,0,
2014,1,24,1/24/14,55,41,56,30.16,8,3,0,
2014,1,25,1/25/14,57,43,60,30.19,9,2,0,
2014,1,26,1/26/14,57,43,65,30.09,10,6,0,
2014,1,27,1/27/14,54,46,73,30.15,10,6,0,
2014,1,28,1/28/14,59,53,81,30.22,10,5,0,
2014,1,29,1/29/14,59,54,89,30.11,10,8,T,Rain
2014,1,30,1/30/14,55,48,80,29.91,10,14,T,Rain
2014,1,31,1/31/14,54,42,63,30.04,10,12,0,
2014,2,1,2/1/14,51,39,63,30.12,10,6,0,
2014,2,2,2/2/14,53,42,74,29.92,8,12,0.85,Rain
2014,2,3,2/3/14,51,41,69,30.04,10,11,0,
2014,2,4,2/4/14,50,40,67,30.12,10,7,0,
2014,2,5,2/5/14,49,42,73,30.15,10,7,0.09,Rain
2014,2,6,2/6/14,50,48,90,29.96,8,7,0.64,Rain
2014,2,7,2/7/14,54,51,92,30.04,9,11,0.23,Rain
2014,2,8,2/8/14,56,55,92,30.1,5,13,0.42,Rain
2014,2,9,2/9/14,57,56,92,30.12,6,9,0.35,Rain
2014,2,10,2/10/14,54,52,93,30.23,9,10,T,Rain
2014,2,11,2/11/14,53,49,92,30.22,10,9,0,
2014,2,12,2/12/14,51,48,92,30.24,7,6,0,Fog
2014,2,13,2/13/14,59,53,87,30.17,6,8,0,Fog
2014,2,14,2/14/14,61,54,80,30.13,8,5,0,
2014,2,15,2/15/14,57,52,83,30.02,10,5,T,Rain
2014,2,16,2/16/14,57,47,68,30.14,10,8,0.01,
2014,2,17,2/17/14,54,45,69,30.16,10,10,0,
2014,2,18,2/18/14,55,49,80,30.15,10,8,0,
2014,2,19,2/19/14,57,48,72,30.16,10,14,0.01,
2014,2,20,2/20/14,56,44,65,30.17,10,6,0,
2014,2,21,2/21/14,58,46,61,30.06,10,7,0,
2014,2,22,2/22/14,56,48,78,29.99,10,9,0,
2014,2,23,2/23/14,55,47,81,30,9,8,0,
2014,2,24,2/24/14,58,47,65,29.96,10,6,0,
2014,2,25,2/25/14,55,48,78,29.95,9,6,0,
2014,2,26,2/26/14,57,52,80,29.84,9,15,0.43,Rain
2014,2,27,2/27/14,60,52,76,29.78,10,10,0.05,Rain
2014,2,28,2/28/14,58,51,79,29.42,9,15,0.68,Rain
2014,3,1,3/1/14,58,53,89,29.63,10,9,0.14,Rain
2014,3,2,3/2/14,56,52,85,30.01,8,6,0.03,Rain
2014,3,3,3/3/14,55,51,82,30.11,10,7,0.08,Rain
2014,3,4,3/4/14,58,55,92,30.08,10,4,T,
2014,3,5,3/5/14,62,56,73,30.06,9,6,0.16,Rain
2014,3,6,3/6/14,59,54,84,30.15,9,8,T,Rain
2014,3,7,3/7/14,57,50,76,30.15,10,11,0,
2014,3,8,3/8/14,58,50,78,30.16,10,6,T,Rain
2014,3,9,3/9/14,65,52,62,30.13,10,5,T,Rain
2014,3,10,3/10/14,61,51,75,30.17,10,11,T,Rain
2014,3,11,3/11/14,63,38,45,30.1,10,9,0,
2014,3,12,3/12/14,65,41,42,30.04,10,18,0,
2014,3,13,3/13/14,64,45,57,30.03,10,7,0,
2014,3,14,3/14/14,61,50,72,30.16,10,10,0,
2014,3,15,3/15/14,64,51,65,30.27,10,8,0,
2014,3,16,3/16/14,60,50,73,30.27,10,12,0,
2014,3,17,3/17/14,59,47,68,30.11,10,14,T,
2014,3,18,3/18/14,60,38,53,29.95,10,5,0,
2014,3,19,3/19/14,61,41,53,30.04,10,6,0,
2014,3,20,3/20/14,60,48,70,30.02,10,11,0,
2014,3,21,3/21/14,57,46,71,29.98,10,7,0,
2014,3,22,3/22/14,56,46,70,30.07,10,8,0,
2014,3,23,3/23/14,57,47,73,30.14,10,8,0,
2014,3,24,3/24/14,60,47,72,30.1,8,10,0,Fog
2014,3,25,3/25/14,55,50,75,29.96,10,8,0.09,Rain
2014,3,26,3/26/14,58,50,75,29.88,9,11,0.36,Rain
2014,3,27,3/27/14,60,48,66,30.07,10,8,T,Rain
2014,3,28,3/28/14,63,51,67,30.15,10,9,T,Rain
2014,3,29,3/29/14,57,53,83,30.06,8,11,0.57,Rain
2014,3,30,3/30/14,56,46,70,30.1,10,9,0.01,
2014,3,31,3/31/14,53,45,74,29.93,9,9,0.49,Rain
2014,4,1,4/1/14,54,45,78,29.89,9,9,0.62,Rain
2014,4,2,4/2/14,54,45,71,30.03,10,9,0.36,Rain
2014,4,3,4/3/14,57,46,67,30.09,10,6,0,
2014,4,4,4/4/14,56,48,73,30.03,10,11,0.22,Rain
2014,4,5,4/5/14,57,48,75,30.14,10,13,0,
2014,4,6,4/6/14,62,51,67,30.18,10,7,0,
2014,4,7,4/7/14,69,52,63,30.11,10,6,0,
2014,4,8,4/8/14,67,54,68,30.07,10,9,0,
2014,4,9,4/9/14,58,51,82,30.05,10,14,0,
2014,4,10,4/10/14,60,50,71,29.98,9,8,0,
2014,4,11,4/11/14,59,51,80,29.91,10,10,0,
2014,4,12,4/12/14,59,49,68,29.91,10,8,0,
2014,4,13,4/13/14,63,50,75,30.01,10,10,0,
2014,4,14,4/14/14,60,51,80,30.08,10,12,0,
2014,4,15,4/15/14,59,49,75,30,10,10,0,
2014,4,16,4/16/14,63,49,65,29.89,10,12,0,
2014,4,17,4/17/14,59,49,73,29.86,10,17,0,
2014,4,18,4/18/14,58,48,72,29.92,10,14,0,
2014,4,19,4/19/14,57,49,73,30.08,10,13,T,
2014,4,20,4/20/14,65,48,60,30.11,10,10,0,
2014,4,21,4/21/14,61,48,63,30.04,10,13,0,
2014,4,22,4/22/14,58,44,64,30.09,10,23,0.04,Rain
2014,4,23,4/23/14,59,45,66,30.13,10,15,0,
2014,4,24,4/24/14,61,53,76,30.06,10,11,T,Rain
2014,4,25,4/25/14,63,50,89,29.88,9,13,0.37,Rain
2014,4,26,4/26/14,55,43,62,29.99,10,15,0,
2014,4,27,4/27/14,59,49,73,30.09,10,11,0,
2014,4,28,4/28/14,61,47,63,30.19,10,12,0,
2014,4,29,4/29/14,70,46,47,30.14,10,6,0,
2014,4,30,4/30/14,75,49,46,30.05,10,4,0,
2014,5,1,5/1/14,74,47,41,30.07,10,8,0,
2014,5,2,5/2/14,64,51,69,30.07,10,14,0,
2014,5,3,5/3/14,61,51,69,30.05,10,18,0,
2014,5,4,5/4/14,63,53,72,30.05,10,12,0,
2014,5,5,5/5/14,61,50,69,30.02,10,20,0,
2014,5,6,5/6/14,60,47,64,29.92,10,19,0,
2014,5,7,5/7/14,58,47,68,29.97,10,17,0,
2014,5,8,5/8/14,60,53,76,30.06,9,11,T,Rain
2014,5,9,5/9/14,60,51,73,30.14,10,17,0,
2014,5,10,5/10/14,60,46,64,30.1,10,21,0,
2014,5,11,5/11/14,63,43,51,30.07,10,16,0,
2014,5,12,5/12/14,68,46,51,30.08,10,8,0,
2014,5,13,5/13/14,76,46,42,30.1,10,6,0,
2014,5,14,5/14/14,77,46,44,30.09,10,8,0,
2014,5,15,5/15/14,71,45,47,30.08,10,11,0,
2014,5,16,5/16/14,64,51,65,30.06,10,17,0,
2014,5,17,5/17/14,62,51,72,30,10,16,0,
2014,5,18,5/18/14,63,52,72,29.99,10,21,0,
2014,5,19,5/19/14,62,51,66,29.97,10,19,T,
2014,5,20,5/20/14,64,51,65,29.99,10,14,0,
2014,5,21,5/21/14,64,52,70,29.96,10,12,0,
2014,5,22,5/22/14,62,52,72,29.97,10,12,0,
2014,5,23,5/23/14,62,52,76,30,10,12,0,
2014,5,24,5/24/14,61,51,71,29.98,10,16,0,
2014,5,25,5/25/14,63,48,62,29.96,10,16,0,
2014,5,26,5/26/14,64,50,68,30,10,22,0,
2014,5,27,5/27/14,61,47,63,30.03,10,18,0,
2014,5,28,5/28/14,63,45,57,30.03,10,17,0,
2014,5,29,5/29/14,66,48,55,29.94,10,10,0,
2014,5,30,5/30/14,59,49,72,29.96,10,14,0,
2014,5,31,5/31/14,60,51,74,29.95,10,11,0,
2014,6,1,6/1/14,62,51,75,29.88,10,11,0,
2014,6,2,6/2/14,60,50,74,29.89,10,10,0,
2014,6,3,6/3/14,60,50,74,29.91,10,11,0,
2014,6,4,6/4/14,61,51,72,29.87,10,11,0,
2014,6,5,6/5/14,62,53,75,29.84,10,10,0,
2014,6,6,6/6/14,63,53,75,29.82,10,11,0,
2014,6,7,6/7/14,62,52,74,29.82,10,10,0,
2014,6,8,6/8/14,71,53,58,29.78,10,11,0,
2014,6,9,6/9/14,68,55,67,29.73,10,12,0,
2014,6,10,6/10/14,66,55,72,29.77,10,9,0,
2014,6,11,6/11/14,65,53,65,29.86,10,11,0,
2014,6,12,6/12/14,62,51,71,29.96,10,17,0,
2014,6,13,6/13/14,64,51,70,29.96,10,15,0,
2014,6,14,6/14/14,70,51,58,29.9,10,11,0,
2014,6,15,6/15/14,63,51,69,29.84,10,17,0,
2014,6,16,6/16/14,60,49,71,29.9,10,16,0,
2014,6,17,6/17/14,64,46,56,29.93,10,10,0,
2014,6,18,6/18/14,71,50,49,29.94,10,11,0,
2014,6,19,6/19/14,64,51,69,29.98,10,14,0,
2014,6,20,6/20/14,66,51,63,29.97,10,14,0,
2014,6,21,6/21/14,61,50,72,29.92,10,12,0,
2014,6,22,6/22/14,62,51,69,29.94,10,13,0,
2014,6,23,6/23/14,64,51,67,29.95,10,15,0,
2014,6,24,6/24/14,63,53,72,29.99,10,17,0.01,
2014,6,25,6/25/14,64,57,81,29.99,10,13,T,
2014,6,26,6/26/14,65,56,77,29.99,10,12,T,Rain
2014,6,27,6/27/14,67,57,74,29.98,10,13,0,
2014,6,28,6/28/14,66,54,71,29.95,10,18,0,
2014,6,29,6/29/14,69,53,63,29.9,10,13,0,
2014,6,30,6/30/14,71,55,63,29.81,10,10,0,
2014,7,1,7/1/14,67,56,70,29.83,10,8,0,
2014,7,2,7/2/14,67,55,69,29.88,10,13,0,
2014,7,3,7/3/14,65,54,70,29.92,10,12,0,
2014,7,4,7/4/14,62,53,74,29.96,10,12,0,
2014,7,5,7/5/14,62,53,75,30.04,10,13,0,
2014,7,6,7/6/14,61,54,79,30.01,10,16,0,
2014,7,7,7/7/14,63,55,81,29.9,10,13,0,
2014,7,8,7/8/14,66,55,73,29.9,10,9,0,
2014,7,9,7/9/14,67,56,72,29.91,10,8,0,
2014,7,10,7/10/14,68,56,69,29.91,10,12,0,
2014,7,11,7/11/14,66,55,71,30.02,10,13,0,
2014,7,12,7/12/14,62,55,78,30.07,10,14,0,
2014,7,13,7/13/14,61,54,84,29.99,10,16,0,
2014,7,14,7/14/14,67,57,75,29.89,10,10,0,
2014,7,15,7/15/14,70,60,74,29.96,10,9,0,
2014,7,16,7/16/14,70,59,74,30,10,10,0,
2014,7,17,7/17/14,69,57,71,29.99,10,10,0,
2014,7,18,7/18/14,68,58,71,29.99,10,10,0,
2014,7,19,7/19/14,68,58,76,29.95,10,11,0,
2014,7,20,7/20/14,68,59,76,29.96,10,10,0,
2014,7,21,7/21/14,71,59,69,30.03,10,11,0,
2014,7,22,7/22/14,71,58,69,30.07,10,9,T,Thunderstorm
2014,7,23,7/23/14,70,60,74,30.1,10,12,0,
2014,7,24,7/24/14,72,58,68,29.95,10,14,0,
2014,7,25,7/25/14,76,58,61,29.86,10,10,0,
2014,7,26,7/26/14,69,58,69,29.92,10,14,0,
2014,7,27,7/27/14,69,58,74,29.96,10,13,T,Rain
2014,7,28,7/28/14,67,58,74,30.03,10,13,0,
2014,7,29,7/29/14,67,58,76,30.02,10,15,0,
2014,7,30,7/30/14,65,57,81,29.98,10,15,0,
2014,7,31,7/31/14,65,57,81,29.95,10,13,0,
2014,8,1,8/1/14,66,57,76,29.9,10,15,0,
2014,8,2,8/2/14,64,56,78,29.93,10,16,0,
2014,8,3,8/3/14,65,56,73,29.95,10,11,0,
2014,8,4,8/4/14,68,57,73,29.97,10,9,0,
2014,8,5,8/5/14,68,58,75,30.03,10,11,0,
2014,8,6,8/6/14,69,59,75,30,10,13,T,Rain
2014,8,7,8/7/14,65,57,77,29.96,10,12,0,
2014,8,8,8/8/14,67,55,69,29.91,10,11,0,
2014,8,9,8/9/14,65,55,74,29.96,10,14,0,
2014,8,10,8/10/14,69,57,69,29.97,10,8,0,
2014,8,11,8/11/14,70,57,66,29.94,10,8,0,
2014,8,12,8/12/14,70,57,69,29.95,10,11,0,
2014,8,13,8/13/14,69,57,72,29.97,10,13,0,
2014,8,14,8/14/14,67,58,76,29.94,10,12,0,
2014,8,15,8/15/14,67,58,74,29.97,10,11,0,
2014,8,16,8/16/14,66,58,79,30.01,10,11,0,
2014,8,17,8/17/14,65,57,79,29.99,10,12,0,
2014,8,18,8/18/14,65,57,78,29.88,10,11,0,
2014,8,19,8/19/14,68,58,74,29.85,10,7,0,
2014,8,20,8/20/14,68,58,73,29.9,10,9,0,
2014,8,21,8/21/14,68,59,81,29.93,10,10,0,
2014,8,22,8/22/14,68,58,77,29.93,10,9,0,
2014,8,23,8/23/14,66,56,72,29.91,10,6,0,
2014,8,24,8/24/14,67,56,72,29.87,10,10,0,
2014,8,25,8/25/14,68,56,69,29.89,10,8,0,
2014,8,26,8/26/14,67,56,71,29.98,10,11,0,
2014,8,27,8/27/14,67,59,76,30.03,10,12,0,
2014,8,28,8/28/14,67,59,79,30.03,10,12,0,
2014,8,29,8/29/14,66,60,83,29.93,10,10,0,
2014,8,30,8/30/14,72,59,69,29.9,10,16,0,
2014,8,31,8/31/14,69,58,74,29.89,10,12,0,
2014,9,1,9/1/14,72,59,65,29.82,10,10,0,
2014,9,2,9/2/14,67,58,76,29.81,10,11,0,
2014,9,3,9/3/14,68,58,75,29.76,10,9,0,
2014,9,4,9/4/14,68,58,74,29.75,10,7,0,
2014,9,5,9/5/14,68,57,72,29.87,10,8,0,
2014,9,6,9/6/14,66,55,72,29.93,9,9,0,
2014,9,7,9/7/14,64,54,72,29.87,10,12,0,
2014,9,8,9/8/14,63,53,69,29.9,10,12,0,
2014,9,9,9/9/14,65,56,78,29.95,10,11,0,
2014,9,10,9/10/14,69,58,72,29.91,8,9,0,Fog
2014,9,11,9/11/14,69,58,74,29.87,10,12,0,
2014,9,12,9/12/14,67,58,75,29.85,10,13,0,
2014,9,13,9/13/14,68,58,74,29.82,10,13,0,
2014,9,14,9/14/14,67,58,74,29.84,10,12,0,
2014,9,15,9/15/14,70,58,66,29.9,10,12,0,
2014,9,16,9/16/14,72,60,69,29.88,10,10,0,
2014,9,17,9/17/14,72,60,66,29.79,10,10,T,Rain
2014,9,18,9/18/14,72,64,76,29.84,10,7,0.01,Rain
2014,9,19,9/19/14,69,62,81,29.89,10,11,0,
2014,9,20,9/20/14,71,61,77,29.92,10,8,0,
2014,9,21,9/21/14,69,60,76,29.99,10,9,0,
2014,9,22,9/22/14,72,59,66,30,10,13,0,
2014,9,23,9/23/14,71,62,76,29.97,10,11,T,
2014,9,24,9/24/14,72,64,78,29.93,9,9,T,Rain
2014,9,25,9/25/14,68,59,77,29.97,8,6,0.41,Rain
2014,9,26,9/26/14,68,59,75,29.97,10,13,0,
2014,9,27,9/27/14,68,58,76,29.89,10,13,0,
2014,9,28,9/28/14,69,58,76,29.89,10,8,0,
2014,9,29,9/29/14,66,58,78,30,10,12,0,
2014,9,30,9/30/14,69,58,72,29.94,10,12,0,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
